Champion,QName,QDescription,WName,WDescription,EName,EDescription,RName,RDescription,PName,PDescription
Aphelios,Weapon Abilites,"Aphelios has 5 different activated abilities, based on his main-hand weapon:  Calibrum (Rifle): Long range shot that marks its target for a long-range follow-up attack. Severum (Scythe Pistol): Run fast while attacking nearby enemies with both weapons. Gravitum (Cannon): Root all enemies slowed by this weapon. Infernum (Flamethrower): Blast enemies in a cone and attack them with your off-hand weapon. Crescendum (Chakram): Deploy a sentry that shoots your off-hand weapon. ",Phase,"Aphelios swaps his main-hand gun with his off-hand gun, replacing his basic attack and activated ability.",Weapon Queue System,Aphelios has no third ability. This slot shows the next weapon Alune will give him. Weapon order begins fixed but may change over game time -- when a weapon is out of ammo it goes to the end of the order.,Moonlight Vigil,Fire a concentrated blast of moonlight that explodes on enemy champions. Applies the unique effect of Aphelios' main-hand gun.,The Hitman and the Seer,"Aphelios wields 5 Lunari Weapons made by his sister Alune. He has access to two at a time: one main-hand and one off-hand. Each weapon has a unique Basic Attack and Ability. Attacks and abilities consume a weapon's ammo. When out of ammo, Aphelios discards the weapon and Alune summons the next of the 5. "
KSante,Ntofo Strikes,"Strike a weapon forward, damaging and slowing all enemies in a short line.  On hit, grants a stack for a few seconds. At 2 stacks, this skill fires a shockwave that pulls enemies in.",Path Maker,K'Sante charges up before dashing. K'Sante is unstoppable and takes less damage while charging. Any targets hit by the dash are knocked to the end of the dash and stunned.  ,Footwork,"K'Sante will dash to an ally and both will gain a shield. If there is no ally, K'Sante will still dash to the location at a reduced range and gain a shield. ",All Out,K'Sante smashes an enemy away. If the enemy hits a wall they will go through the wall taking more damage. K'Sante will appear behind the target and goes All Out by shredding his defenses but greatly increasing his damage.  ,Dauntless Instinct,K'Sante's Abilities mark targets to take more damage on his next Attack.
Viktor,Siphon Power,"Viktor blasts an enemy unit dealing magic damage, gaining a shield and empowering his next basic attack.  Augment: Siphon Power's shield is increased by 60% and Viktor gains bonus Move Speed after casting.",Gravity Field,Viktor conjures a heavy gravitational field that slows enemies in its radius. Enemies who stay within the device for too long are stunned.  Augment: Viktor's non-periodic spells apply a slow to enemies.,Death Ray,"Viktor uses his robotic arm to fire a chaos beam that cuts across the field in a line, dealing damage to all enemies in its path.  Augment: An explosion follows the Death Ray's wake, dealing magic damage.",Chaos Storm,Viktor conjures a singularity on the field which deals magic damage and interrupts enemy channels. The singularity then periodically does magic damage to all nearby enemies. Viktor can redirect the singularity.  Augment: The Chaos Storm moves 25% faster.,Glorious Evolution,Viktor can augment his basic abilities when he gets kills on enemies.
Corki,Phosphorus Bomb,"Corki fires a flash bomb at a target location, dealing magic damage to enemies in the area. This attack additionally reveals units in the area for a duration.",Valkyrie,"Corki flies a short distance, dropping bombs that create a trail of fire that damages opponents who remain in it.",Gatling Gun,"Corki's gatling gun rapidly fires in a cone in front of him, dealing damage and reducing enemy Armor and Magic Resist.",Missile Barrage,"Corki fires a missile toward his target location that explodes on impact, dealing damage to enemies in an area. Corki stores missiles over time, up to a maximum. Every 3rd missile fired will be a Big One, dealing extra damage.",Hextech Munitions,"A percentage of Corki's basic attack damage is converted into <magicDamage>magic damage</magicDamage>.  Corki can occasionally retrieve The Package inside his base, granting him Move Speed and an empowered cast of Valkyrie."
Morgana,Dark Binding,"Morgana binds an enemy in place with dark magic, forcing them to feel the pain they've caused and dealing magic damage. ",Tormented Shadow,"Morgana casts a cursed shadow on an area, damaging enemies who dare stand in her dark circle. They receive magic damage over time, which increases the lower health they are.",Black Shield,"Morgana anoints an ally with a protective barrier of starfire, which absorbs magical damage and disabling effects until it is broken.",Soul Shackles,"Morgana unleashes the full force of her Celestial power as she unbinds her wings and hovers above the ground. She lashes chains of dark pain onto nearby enemy champions, gaining Move Speed towards them. The chains slow and deal initial damage and, after a delay, stun those who are unable to break them.",Soul Siphon,"Morgana drains spirit from her enemies, healing as she deals damage to champions, large minions, and medium and larger jungler monsters."
Trundle,Chomp,"Trundle bites his opponent, dealing damage, briefly slowing and sapping some of their Attack Damage.",Frozen Domain,"Trundle turns target location into his domain, gaining Attack Speed, Move Speed, and increased healing from all sources while on it.",Pillar of Ice,"Trundle creates an ice pillar at target location, becoming impassable terrain and slowing all nearby enemy units.",Subjugate,"Trundle immediately steals a percent of his target's Health, Armor and Magic Resistance. Over the next 4 seconds the amount of Health, Armor, and Magic Resistance stolen is doubled.",King's Tribute,"When an enemy unit dies near Trundle, he heals for a percent of its maximum Health."
Akali,Five Point Strike,"Akali throws out five kunai, dealing damage based on her bonus Attack Damage and Ability Power and slowing.",Twilight Shroud,"Akali drops a cover of smoke and briefly gains Move Speed. While inside the shroud, Akali becomes invisible and unable to be selected by enemy spells and attacks. Attacking or using abilities will briefly reveal her.  ",Shuriken Flip,"Flip backward and fire a shuriken forward, dealing magic damage. The first enemy or smoke cloud hit is marked. Re-cast to dash to the marked target, dealing additional damage.",Perfect Execution,"Akali leaps in a direction, damaging enemies she strikes. Re-cast: Akali dashes in a direction, executing all enemies she strikes.",Assassin's Mark,Dealing spell damage to a champion creates a ring of energy around them. Exiting that ring empowers Akali's next Attack with bonus range and damage.
Jhin,Dancing Grenade,Jhin launches a magical cartridge at an enemy. It can hit up to four targets and gains damage each time it kills.,Deadly Flourish,"Jhin brandishes his cane, firing a single shot with incredible range. It pierces through minions and monsters, but stops on the first champion hit. If the target was recently struck by Jhin's allies, lotus traps, or damaged by Jhin, they are rooted.",Captive Audience,"Jhin places an invisible lotus trap that blooms when walked over. It slows nearby enemies before dealing damage with an explosion of serrated petals. <font color='#FFFFFF'>Beauty in Death -</font> When Jhin kills an enemy champion, a lotus trap will bloom near their corpse.",Curtain Call,"Jhin channels, transforming Whisper into a shoulder-mounted mega-cannon. It is able to fire 4 super shots at extreme range that pierce through minions and monsters, but stop on the first champion impacted. Whisper cripples enemies hit, which slows them and deals execute damage. The 4th shot is perfectly crafted, epically powerful, and guaranteed to critically strike.",Whisper,"Jhin's hand cannon, Whisper, is a precise instrument designed to deal superior damage. It fires at a fixed rate and carries only four shots. Jhin imbues the final bullet with dark magics to critically strike and deal bonus execute damage. Whenever Whisper crits, it inspires Jhin with a burst of Move Speed."
Taric,Starlight's Touch,Heals nearby allied champions based on charges stored. Bravado-empowered attacks grant a charge of Starlight's Touch.,Bastion,Passively increase the Armor of Taric and any allied champion with Bastion.  Actively shields an ally and grants them Bastion for as long as they remain near Taric. Taric's spells also cast off the ally with Bastion.,Dazzle,"Taric readies a beam of starlight that, after a brief delay, deals magic damage and stuns enemies.",Cosmic Radiance,"Pulses cosmic energy onto nearby allied champions after a delay, making them invulnerable for a short duration.",Bravado,"Spellcasts empower Taric's next 2 basic attacks to deal bonus magic damage, reduce his spell cooldowns, and attack in quick succession."
Sona,Hymn of Valor,"Sona plays the Hymn of Valor, sends out bolts of sound, dealing magic damage to two nearby enemies, prioritizing champions and monsters. Sona gains a temporary aura that grants allies tagged by the zone bonus damage on their next attack against enemies.",Aria of Perseverance,"Sona plays the Aria of Perseverance, sending out protective melodies, healing Sona and a nearby wounded ally. Sona gains a temporary aura that grants allies tagged by the zone a temporary shield.",Song of Celerity,"Sona plays the Song of Celerity, granting nearby allies bonus Move Speed. Sona gains a temporary aura that grants allied champions tagged by the zone bonus Move Speed.",Crescendo,"Sona plays her ultimate chord, stunning enemy champions and forcing them to dance and dealing magic damage to them. Each rank reduces the base cooldown of Sona's basic abilities.",Power Chord,"<passive>Accelerando</passive>: Sona gains non-Ultimate ability haste permanently for her basic abilities as she uses her abilities well, up to a cap. Beyond that cap, further successful uses reduce her ultimate's remaining cooldown instead.  <passive>Power Chord</passive>: Every few spell casts, Sona's next attack will deal bonus magic damage in addition to an additional effect based on what basic Ability Sona last activated."
Irelia,Bladesurge,"Irelia dashes forward to strike her target, healing herself. If the target is Marked or dies to Bladesurge, its cooldown refreshes.",Defiant Dance,Irelia charges a strike that deals more damage as she charges. She takes reduced physical damage during the charge.,Flawless Duet,"Irelia sends out two blades which converge on each other. Enemies caught in between are damaged, stunned and Marked.",Vanguard's Edge,Irelia fires a massive number of blades that explode outward upon hitting an enemy champion. Enemies hit by the blades are damaged and Marked. Afterwards the blades form a wall that will damage and slow enemies that walk through it.,Ionian Fervor,When Irelia strikes enemies with spells she gains stacking bonus Attack Speed. At maximum stacks she also gains bonus damage on hit.
Kalista,Pierce,Throw a fast moving spear that passes through enemies it kills.,Sentinel,"Gain bonus damage when Kalista and her Oathsworn strike the same target. Activate to send a soul to scout out the path, revealing the area in front of it.",Rend,"Attacks impale their targets with spears. Activate to rip the spears out, slowing and dealing escalating damage.",Fate's Call,"Kalista teleports the Oathsworn ally to herself. They gain the ability to dash toward a position, knocking enemy champions back.",Martial Poise,Enter a movement command while winding up Kalista's basic attack or Pierce to lunge a short distance when she launches her attack.
Bard,Cosmic Binding,"Bard fires a missile which will slow the first enemy struck, and continue onward. If it strikes a wall, it will stun the initial target; if it strikes another enemy, it will stun them both.",Caretaker's Shrine,"Reveals a Health shrine which powers up over a short time, disappearing after healing and speeding up the first ally that touches it.",Magical Journey,Bard opens a portal in nearby terrain. Allies and enemies alike can take a one-way trip through that terrain by moving into the portal.,Tempered Fate,"Bard sends spirit energy arcing to a location, putting all champions, minions, monsters, and turrets hit into stasis for a brief time.",Traveler's Call,"<font color='#FF9900'>Meeps:</font> Bard attracts lesser spirits that assist with his basic attacks to deal extra magic damage. When Bard has collected enough  <font color='#cccc00'>Chimes</font>, his meeps will also deal damage in an area and slow enemies hit.  <font color='#FF9900'>Chimes:</font> Ancient <font color='#cccc00'>chimes</font> randomly appear for Bard to collect. These grant experience, restore mana, and provide out of combat Move Speed."
Yone,Mortal Steel,"Thrusts forward, damaging all enemies in a line.  On hit, grants a stack of Gathering Storm for a few seconds. At 2 stacks, Mortal Steel dashes Yone forward with a gust of wind knocking enemies <status>Airborne</status>.  Mortal Steel is treated as a basic attack and scales with all the same things.",Spirit Cleave,"Cleaves forward, damaging all enemies in a cone. Grants a shield to Yone, the value is increased by the number of champions hit by the swipe.  Spirit Cleave's cooldown and cast time scale with attack speed.",Soul Unbound,"Yone's spirit leaves his body behind, gaining Move Speed. When this skill ends, Yone's spirit is forced back to his body and he repeats a portion of the damage he dealt as a spirit.",Fate Sealed,Yone blinks behind the last champion in a line with a slash so powerful it pulls all enemies hit towards him.,Way of the Hunter,"Yone deals magic damage with every second Attack. In addition, his critical strike chance is increased."
Quinn,Blinding Assault,Quinn calls Valor to mark an enemy and hinder its vision before damaging all enemies in the immediate area.,Heightened Senses,Passively grants Quinn Attack Speed and Move Speed after she attacks a <font color='#FFF673'>Vulnerable</font> target. Activate to have Valor reveal a large area nearby.,Vault,"Quinn dashes to an enemy, dealing physical damage and slowing the target's Move Speed. Upon reaching the target, she leaps off the target, briefly interrupting it, and lands near her maximum Attack Range away from the target.",Behind Enemy Lines,"Quinn and Valor team up to fly around at great speed.  Ending the ability casts Skystrike, which deals damage to nearby enemies and marks champions as Vulnerable.",Harrier,"Valor, Quinn's Demacian eagle, periodically marks enemies as <font color='#FFF673'>Vulnerable</font>. Quinn's first basic attack against <font color='#FFF673'>Vulnerable</font> targets will deal bonus physical damage."
Aatrox,The Darkin Blade,"Aatrox slams his greatsword down, dealing physical damage. He can swing three times, each with a different area of effect.",Infernal Chains,"Aatrox smashes the ground, dealing damage to the first enemy hit. Champions and large monsters have to leave the impact area quickly or they will be dragged to the center and take the damage again.",Umbral Dash,"Passively, Aatrox heals when damaging enemy champions. On activation, he dashes in a direction.",World Ender,"Aatrox unleashes his demonic form, fearing nearby enemy minions and gaining attack damage, increased healing, and Move Speed. If he gets a takedown, this effect is extended.",Deathbringer Stance,"Periodically, Aatrox's next basic attack deals bonus <physicalDamage>physical damage</physicalDamage> and heals him, based on the target's max health. "
Shaco,Deceive,"Shaco becomes Invisible and teleports to target location.  His first attack while Invisible is empowered, dealing bonus damage and critically striking if he attacks from behind.",Jack In The Box,"Shaco creates a hidden animated Jack-in-the-Box. When triggered, it will fear and attack nearby enemies.",Two-Shiv Poison,"Shaco's Shivs passively poison targets on hit, slowing their Move Speed. He can throw his Shivs to deal damage and poison the target. The thrown Shiv deals bonus damage if the target is below 30% health.",Hallucinate,"Shaco creates an illusion of himself near him, which can attack nearby enemies (Deals reduced damage to turrets).  Upon death, it explodes, spawning three mini Jack in the Boxes and dealing damage to nearby enemies.",Backstab,Shaco's basic attacks and Two-Shiv Poison deal additional damage when striking from behind.
Shyvana,Twin Bite,Shyvana strikes twice on her next attack and grants herself Attack Speed for her next attacks. Basic attacks reduce the cooldown of Twin Bite by 0.5 seconds.  <font color='#FF3300'>Dragon Form: </font>Twin Bite cleaves all units in front of Shyvana.,Burnout,"Shyvana surrounds herself in fire, dealing magic damage per second to nearby enemies and moving faster for 3 seconds, part of this damage is applied again when Shyvana basic attacks an enemy with Burnout active. The Move Speed reduces over the duration of the spell. Basic attacks extend the duration of Burnout. <font color='#FF3300'>Dragon Form: </font>Burnout grows in size.",Flame Breath,"Shyvana unleashes a fireball that deals damage to all enemies it encounters and leaves cinders on the target, marking them for 5 seconds. Shyvana's basic attacks on marked targets deal a percentage of their maximum Health as damage on-hit.  <font color='#FF3300'>Dragon Form: </font>Flame Breath explodes on impact or at target location, dealing bonus damage and scorching the earth for a short duration.",Dragon's Descent,Shyvana transforms into a dragon and takes flight to a target location. Enemies along her path take damage and are knocked toward her target location.  Shyvana passively gains Fury per second and gains 2 Fury on basic attack.,Fury of the Dragonborn,"Shyvana deals bonus damage to dragons and gains Armor and Magic Resistance. As Shyvana and her allies slay more dragons, she gains more bonus Armor and Magic Resistance."
MasterYi,Alpha Strike,"Master Yi teleports across the battlefield with blinding speed, dealing physical damage to multiple units in his path, while simultaneously becoming untargetable. Alpha Strike can critically strike and deals bonus physical damage to monsters. Basic attacks reduce Alpha Strike's cooldown.",Meditate,"Master Yi rejuvenates his body by focus of mind, restoring Health and taking reduced damage for a short time. In addition, Master Yi will gain stacks of Double Strike and pause the remaining duration on Wuju Style and Highlander for each second he channels.",Wuju Style,Grants bonus true damage on basic attacks.,Highlander,"Master Yi moves with unparalleled agility, temporarily increasing his Move Speed and Attack Speed as well as making him immune to all slowing effects. While active, Champion kills or assists extend Highlander's duration. Passively reduces cooldown for his other abilities on a kill or assist.",Double Strike,"Every few consecutive basic attack, Master Yi strikes twice."
Shen,Twilight Assault,"Shen recalls his spirit blade to attack with it, dealing damage based on the target's max health. The attacks are greatly empowered if it collides with an enemy champion, and all collided enemies are slowed while running away from Shen.",Spirit's Refuge,Attacks that would hit Shen or his allies near his spirit blade are blocked.,Shadow Dash,"Shen dashes in a direction, taunting enemies in his path.",Stand United,"Shen shields target allied champion from incoming damage, and soon after teleports to their location.",Ki Barrier,"After casting a spell, Shen gets a shield. Affecting other champions reduces the cooldown of this effect."
Anivia,Flash Frost,"Anivia brings her wings together and summons a sphere of ice that flies towards her opponents, chilling and damaging anyone in its path. When the sphere explodes it does moderate damage in a radius, stunning anyone in the area.",Crystallize,Anivia condenses the moisture in the air into an impassable wall of ice to block all movement. The wall only lasts a short duration before it melts.,Frostbite,"With a flap of her wings, Anivia blasts a freezing gust of wind at her target, dealing damage. If the target was recently hit by Flash Frost or damaged by a fully formed Glacial Storm, the damage they take is doubled.",Glacial Storm,Anivia summons a driving rain of ice and hail to damage her enemies and slow their advance.,Rebirth,"Upon taking fatal damage, Anivia reverts to an egg and is reborn with full health."
Nami,Aqua Prison,"Sends a bubble to a target area, dealing damage and stunning all enemies on impact.",Ebb and Flow,"Unleashes a stream of water that bounces back and forth between allied and enemy champions, healing allies and damaging enemies.",Tidecaller's Blessing,Empowers an allied champion for a short duration. The ally's basic attacks and spells deal bonus magic damage and slow the target.,Tidal Wave,"Summons a massive Tidal Wave that knocks up, slows, and damages enemies. Allies hit gain double the effect of Surging Tides.",Surging Tides,When Nami's Abilities hit allied champions they gain Move Speed for a short duration.
Fiddlesticks,Terrify,"Fiddlesticks damaging enemies with spells while unseen or targeting an enemy with Terrify's activation strikes a target unit with fear, causing it to flee in terror for a duration.",Bountiful Harvest,"Fiddlesticks drains health from nearby enemies, dealing bonus execute damage at the end of the duration.",Reap,"Fiddlesticks slashes an area with its scythe, slowing all enemies hit and silencing enemies hit in the center of the slash.",Crowstorm,"A murder of crows flock wildly around Fiddlesticks, dealing damage per second to all enemy units in the area.",A Harmless Scarecrow,Fiddlesticks' trinket is replaced by scarecrow effigies.
Nasus,Siphoning Strike,"Nasus strikes his foe, dealing damage and increasing the power of his future Siphoning Strikes if he slays his target.",Wither,"Nasus ages an enemy champion, decelerating their Move Speed and Attack Speed over time.",Spirit Fire,"Nasus unleashes a spirit flame at a location, dealing damage and reducing the Armor of enemies who stand on it.",Fury of the Sands,"Nasus unleashes a mighty sandstorm that batters nearby enemies. While the storm rages, he gains increased Health, Attack Range, damages nearby enemies, has a reduced cooldown on Siphoning Strike, and gains bonus Armor and Magic Resistance.",Soul Eater,"Nasus drains his foe's spiritual energy, giving him bonus Life Steal."
Maokai,Bramble Smash,"Maokai knocks back nearby enemies with a shockwave, dealing magic damage and slowing them.",Twisted Advance,"Maokai contorts into a mass of moving roots, becoming untargetable and dashing to the target. Upon arrival, he roots the target.",Sapling Toss,Maokai flings a sapling to the target area to stand guard. More effective in brush.,Nature's Grasp,"Maokai summons a colossal wall of brambles and thorns that slowly advances forwards, damaging and rooting any enemies in the path.",Sap Magic,"Maokai's basic attack also heals him and deals additional damage on a moderate cooldown. Each time Maokai casts a spell or is struck by an enemy's spell, this cooldown is reduced."
Renata,Handshake,"Renata sends out a missile rooting the first enemy hit, and can recast the ability to throw the unit in a direction.",Bailout,"Renata buffs an allied champion to fight harder, delaying their death and potentially saving them if they get a takedown.",Loyalty Program,"Renata sends out a pair of chemtech missiles, shielding allies and damaging and slowing enemies hit.",Hostile Takeover,"Renata sends out a wave of chemicals, causing any enemies hit to go Berserk.",Leverage,Renata's Attacks deal bonus damage and mark enemies. Renata's allies can damage marked enemies to deal bonus damage.
Zyra,Deadly Spines,"Thick vines spread through the ground and explode into spines, dealing magic damage to enemies within the area. If cast near a seed, Deadly Spines grows a Thorn Spitter plant, which fires at enemies from afar.",Rampant Growth,"Zyra plants a seed, lasting up to 60 seconds. Deadly Spines and Grasping Roots cast near seeds will turn them into plants who fight for Zyra. Zyra can store multiple seeds at once, and killing enemies reduces Rampant Growth's recharge time.",Grasping Roots,"Zyra sends forth vines through the ground to ensnare her target, dealing damage and rooting enemies they come across. If cast near a seed, Grasping Roots grows a Vine Lasher, whose short range attacks reduce enemy Move Speed.",Stranglethorns,"Zyra summons a twisted thicket at her target location, dealing damage to enemies as it expands and knocking them airborne as it contracts. Plants within the thicket are enraged.",Garden of Thorns,"Seeds spawn around Zyra periodically, becoming faster with level. Zyra can cast Deadly Spines or Grasping Roots near seeds to grow plants, who fight for Zyra."
Xerath,Arcanopulse,"Fires a long-range beam of energy, dealing magic damage to all targets hit.",Eye of Destruction,"Calls down a barrage of arcane energy, slowing and dealing magic damage to all enemies in an area. Targets in the middle receive additional damage and a stronger slow.",Shocking Orb,Deals magic damage to an enemy and stuns them.,Rite of the Arcane,Xerath immobilizes himself and gains numerous long-range barrages.,Mana Surge,"Xerath's basic attacks periodically restore Mana. Whenever Xerath kills a unit, this cooldown is reduced."
Ekko,Timewinder,"Ekko throws a temporal grenade that expands into a time-distortion field upon hitting an enemy champion, slowing and damaging anyone caught inside. After a delay, the grenade rewinds back to Ekko, dealing damage on its return.",Parallel Convergence,"Ekko's basic attacks deal bonus magic damage to low health enemies. He can cast Parallel Convergence to split the timeline, creating an anomaly after a few seconds that slows enemies caught inside. If Ekko enters the anomaly, he gains shielding and stuns enemies by suspending them in time.",Phase Dive,"Ekko rolls evasively while charging up his Z-Drive. His next attack deals bonus damage and warps reality, teleporting him to his target.",Chronobreak,"Ekko shatters his timeline, becoming untargetable and rewinding to a more favorable point in time. He returns to whenever he was a few seconds ago, and heals for a percentage of the damage received in that duration. Enemies near his arrival zone take massive damage.",Z-Drive Resonance,"Every third attack or damaging spell on the same target deals bonus magic damage, and grants Ekko a burst of speed if the target is a champion.  "
TwistedFate,Wild Cards,"Twisted Fate throws three cards, dealing damage to each enemy unit they pass through.",Pick a Card,"Twisted Fate chooses a magic card from his deck, and uses that for his next attack, causing bonus effects.",Stacked Deck,"Every 4 attacks, Twisted Fate deals bonus damage. In addition, his Attack Speed is increased.",Destiny,"Twisted Fate predicts the fortunes of his foes, revealing all enemy champions and enabling the use of Gate, which teleports Twisted Fate to any target location in 1.5 seconds.",Loaded Dice,"Upon killing a unit, Twisted Fate rolls his 'lucky' dice receiving 1 to 6 bonus gold."
Vayne,Tumble,"Vayne tumbles, maneuvering to carefully place her next shot. Her next attack deals bonus damage.",Silver Bolts,"Vayne tips her bolts with a rare metal, toxic to evil things. The third consecutive attack or ability against the same target deals a percentage of the target's max health as bonus true damage.",Condemn,"Vayne draws a heavy crossbow from her back, and fires a huge bolt at her target, knocking them back and dealing damage. If they collide with terrain, they are impaled, dealing bonus damage and stunning them.",Final Hour,"Readying herself for an epic confrontation, Vayne gains increased Attack Damage, Invisibility during Tumble, reduced Tumble cooldown, and more bonus Move Speed from Night Hunter",Night Hunter,"Vayne ruthlessly hunts evil-doers, gaining 45 Move Speed when moving toward nearby enemy champions."
Amumu,Bandage Toss,"Amumu tosses a sticky bandage at a target, stunning and damaging the target while he pulls himself to them.",Despair,"Overcome by anguish, nearby enemies lose a percentage of their maximum Health each second and have their <font color='#9b0f5f'>Curses</font> refreshed.",Tantrum,"Permanently reduces the physical damage Amumu would take. Amumu can unleash his rage, dealing damage to surrounding enemies. Each time Amumu is hit, the cooldown on Tantrum is reduced.",Curse of the Sad Mummy,"Amumu entangles surrounding enemy units in bandages, applying his <keywordMajor>Curse</keywordMajor>, damaging and stunning them.",Cursed Touch,"Amumu's basic attacks <font color='#9b0f5f'>Curse</font> his enemies, causing them to take bonus true damage from incoming magic damage."
Yuumi,Prowling Projectile,"Yuumi fires a missile, dealing damage and slowing first target hit. It deals bonus damage and an enchanced slow if it takes at least 1.35 seconds to get to its target. While on her Best Friend, the slow is always enhanced and grants bonus On-Hit damage to her ally.  While Attached, the missile can be controlled with your cursor for a brief period.",You and Me!,"Yuumi dashes to a target ally, becoming untargetable from everything except turrets. While on her Best Friend, she gains Heal & Shield Power and grants her Ally On-Hit healing.",Zoomies,"Shields Yuumi and boosts Move Speed and Attack Speed. If she's attached, she passes it to her ally instead. ",Final Chapter,"Yuumi channels five waves that damage enemies and heal allies. Yuumi can move, attach, and cast Zoomies! while channeling. While on her Best Friend, this spell also follows her mouse.",Feline Friendship,"Periodically, when Yuumi strikes a champion with an attack or ability, she restores health to herself and the next ally she Attaches to.  While Attached, Yuumi generates a special bond with her allies. The ally with the strongest bond enhances Yuumi's abilities while she is Attached to them."
JarvanIV,Dragon Strike,"Jarvan IV extends his lance, dealing physical damage and lowering the Armor of enemies in its path. Additionally, this will pull Jarvan to his Demacian Standard, knocking up enemies in his path.",Golden Aegis,Jarvan IV calls upon the ancient kings of Demacia to shield him from harm and slow surrounding enemies.,Demacian Standard,"Jarvan IV carries the pride of Demacia, passively granting him bonus Attack Speed. Activating Demacian Standard allows Jarvan IV to place a Demacian flag that deals magic damage on impact and grants Attack Speed to nearby allied champions.",Cataclysm,Jarvan IV heroically leaps into battle at a target with such force that he terraforms the surrounding area to create an arena around them. Nearby enemies are damaged at the moment of impact.,Martial Cadence,Jarvan's first basic attack on an enemy deals bonus physical damage based on their current Health. This effect cannot occur again on the same enemy for a few seconds.
Illaoi,Tentacle Smash,"Increases the damage dealt by Tentacles. When activated, Illaoi smashes down a Tentacle that deals physical damage.",Harsh Lesson,"Illaoi leaps to her target, dealing physical damage and causing nearby Tentacles to also swing at the target.",Test of Spirit,"Illaoi rips the spirit from a foe's body, forcing it to stand before her. Spirits echo a percentage of the damage they take to the original target. If killed, or if the target gets too far from the spirit, the target will become a <font color='#669900'>Vessel</font> and begin spawning Tentacles.",Leap of Faith,"Illaoi smashes her idol into the ground, dealing physical damage to nearby enemies. A Tentacle spawns for each enemy champion hit.",Prophet of an Elder God,"Illaoi and the <font color='#669900'>Vessels</font> she creates spawn Tentacles on nearby impassible terrain. Tentacles swing at spirits, <font color='#669900'>Vessels</font>, and victims of Illaoi's Harsh lesson. Tentacles deal physical damage to enemies hit, and will heal Illaoi if they damage a champion."
Orianna,Command: Attack,"Orianna commands her Ball to fire toward a target location, dealing magic damage to targets along the way (deals less damage to subsequent targets). Her Ball remains at the target location after.",Command: Dissonance,"Orianna commands her Ball to release a pulse of energy, dealing magic damage around it. This leaves a field behind that speeds up allies and slows enemies.",Command: Protect,"Orianna commands her Ball to attach to an allied champion, Shielding them and dealing magic damage to any enemies it passes through on the way. Additionally, the Ball grants additional Armor and Magic Resist to the champion it is attached to.",Command: Shockwave,"Orianna commands her Ball to unleash a shockwave, dealing magic damage and launching nearby enemies towards the Ball after a short delay.",Clockwork Windup,Orianna's Attacks deal additional magic damage. This damage increases the more Orianna Attacks the same target.
Rengar,Savagery,Rengar's next attack brutally stabs his target for bonus damage.  Ferocity effect: deals increased damage and grants Attack Speed.,Battle Roar,"Rengar lets out a battle roar, damaging enemies and healing for some of the recent damage he has taken.  Ferocity effect: additionally breaks crowd control effects.",Bola Strike,"Rengar throws a bola, slowing the first target hit for a short duration.  Ferocity effect: roots the target.",Thrill of the Hunt,"Rengar's predatory instincts take over, <font color='#cd90ee'>Camouflaging</font> him and revealing the nearest enemy champion in a large radius around him. During Thrill of the Hunt, Rengar gains Move Speed and he can leap to the tracked enemy without being in brush, reducing their armor.",Unseen Predator,"While in Brush, Rengar leaps at his target with his basic attack.  Rengar generates Ferocity whenever he casts an ability. At Max Ferocity, his next ability is empowered.  Killing enemy champions awards trophies on Rengar's <font color='#BBFFFF'>Bonetooth Necklace</font>, granting bonus attack damage."
Ezreal,Mystic Shot,Ezreal fires a damaging bolt of energy which reduces all of his cooldowns slightly if it strikes an enemy unit.,Essence Flux,"Ezreal fires an orb that sticks to the first champion or objective hit. If Ezreal hits an enemy with the orb, it detonates and deals damage.",Arcane Shift,Ezreal teleports to a target nearby location and fires a homing bolt which strikes the nearest enemy unit. Prioritizes enemies stuck with Essence Flux.,Trueshot Barrage,Ezreal winds up before firing a powerful barrage of energy that deals massive damage to each unit it passes through (damage is reduced for minions and non-epic monsters).,Rising Spell Force,"Ezreal gains increasing Attack Speed each time he successfully hits a spell, stacking up to 5 times."
Pyke,Bone Skewer,Pyke either stabs an enemy in front of him or pulls an enemy towards him.,Ghostwater Dive,Pyke enters Camouflage and gains significant Move Speed that decays over time.,Phantom Undertow,"Pyke dashes and leaves behind a phantom that will return to him, stunning enemy champions along its path.",Death From Below,"Pyke blinks to and executes low health enemies, allowing him to cast this spell again and granting additional gold to an ally who assists.",Gift of the Drowned Ones,"When Pyke is hidden from enemies, he regenerates damage that he has recently taken from champions. Pyke also cannot gain extra Maximum Health from any source, and instead gains Bonus AD."
Kennen,Thundering Shuriken,"Kennen throws a fast moving shuriken towards a location, causing damage and adding a Mark of the Storm to any opponent that it hits.",Electrical Surge,"Kennen passively deals extra damage and adds a Mark of the Storm to his target every few attacks, and he can activate this ability to damage and add another Mark of the Storm to targets who are already marked.",Lightning Rush,"Kennen morphs into a lightning form, enabling him to pass through units and apply a Mark of the Storm. Kennen gains Move Speed when entering this form, and attack speed when leaving it.",Slicing Maelstrom,Kennen summons a storm that strikes at nearby enemy champions for magical damage.,Mark of the Storm,Kennen stuns enemies he hits 3 times with his abilities.
